Date,Citibank,Morgan Stanley,Goldman Sachs,J.P. Morgan
2005-01-03,0.0018680449,0.0068444164,0.0087465974,0.0035889261
2005-01-04,-0.0084939008,-0.0107335059,-0.006479276,-0.0189017104
2005-01-05,0.0125365648,-0.0057866005,-0.0045074711,0.002082843
2005-01-06,0.0096986833,0.0236449436,0.0137764929,0.0057156921
2005-01-07,-0.0057224363,-0.0039089908,-0.0042763849,-0.0080081893
2005-01-10,-0.0063720576,-0.000178416,0.0019087994,-0.0033854686
2005-01-11,-0.002482379,-0.0107046924,-0.0077158028,-0.0096680951
2005-01-12,-0.0031107424,-0.0030658611,-0.0086397333,0.0023746701
2005-01-13,-0.0097774327,0.0039797577,-0.0031954586,-0.00579105
2005-01-14,-0.0018907437,0.0102702703,0.0124344179,0.001059068
2005-01-18,0.0138918247,0.0067772606,0.0074841584,0.0156043635
2005-01-19,-0.0026988125,-0.0180691051,-0.0089524,-0.0145833847
2005-01-20,-0.005620279,-0.0104636839,-0.0063424564,-0.0155919662
2005-01-21,0.0033493321,-0.0067456338,-0.0006769826,-0.0107383087
2005-01-24,0.0089714544,-0.0075256975,-0.0008710345,0.0008141927
2005-01-25,0.0031017369,0.0061032365,-0.0036807149,-0.0005422993
2005-01-26,-0.0006184663,-0.0042280146,0.0038887906,-0.0008138632
2005-01-27,0.0016502022,-0.0077533324,0.0071663566,-0.0021721965
2005-01-28,-0.0037067916,0.0115348651,0.0203846442,0.0068027211
2005-01-31,0.013848723,0.029244069,0.0163022517,0.008918973
2005-02-01,0.0087665403,0.0230521984,0.0050997127,0.0045539242
2005-02-02,0.0040420373,-0.0031441048,0.0017527121,0.0005333333
2005-02-03,-0.0106682531,0.0019274575,0.0013813611,-0.0034648454
2005-02-04,0.01281788,0.0262329486,0.0117711884,0.0080235359
2005-02-07,-0.0010044195,-0.0103953647,-0.0039083895,0.0074290795
2005-02-08,-0.0050271467,0.0091268814,0.017884908,-0.005530761
2005-02-09,-0.0060630559,-0.0073378842,-0.0008965128,-0.0068855406
