Date,Citibank,Morgan Stanley,Goldman Sachs,J.P. Morgan
2007-01-03,-0.0080789946,0.0023333292,0.0068723098,-0.0047618842
2007-01-04,-0.0034389575,0.0035530628,-0.0093164358,0.0024963387
2007-01-05,-0.0052669163,-0.0128189836,0.0010057681,-0.0083004359
2007-01-08,0.0051122657,0.0060598194,0.023511645,0.0033479807
2007-01-09,-0.0087193243,-0.0023355133,0.0017179895,-0.0041710322
2007-01-10,-0.0080630821,0.0050517001,0.0197471529,0.007329801
2007-01-11,0.0007390061,0.0098075641,0.0181154389,0.0043659669
2007-01-12,0.0038766401,0.0059487433,0.0099584668,-0.0066238666
2007-01-16,0.0071717986,-0.0030171373,-0.0018692882,0.0083350069
2007-01-17,-0.0069380827,-0.002784215,-0.0016854722,0.0008266378
2007-01-18,0.0,-0.0142024526,-0.0166487036,-0.0057814991
2007-01-19,0.0020223864,0.0035710012,0.0029091951,0.0126686599
2007-01-22,0.0033027303,0.0222085644,0.0127443439,0.018457794
2007-01-23,-0.0034746965,-0.0082822592,-0.0015495234,0.0034233186
2007-01-24,0.0062396107,0.024570309,0.0350828021,0.0106361425
2007-01-25,-0.0164143721,-0.0287064494,-0.0319400218,-0.0029785941
2007-01-26,0.0137215356,-0.0012162247,0.0020180832,-0.0101572995
2007-01-29,-0.0111579218,-0.0121773011,-0.011522281,-0.0046277665
2007-01-30,0.0038846395,0.0073964248,-0.0107088423,0.0143521121
2007-01-31,0.0158466479,0.0130934898,0.0161893142,0.0149461937
2007-02-01,-0.0072555779,0.0128034423,-0.0007541667,0.0054977224
2007-02-02,-0.001279028,0.0022659869,0.00674525,-0.0054676627
2007-02-05,0.0016465862,-0.0091623512,-0.004123085,0.0005890242
2007-02-06,0.003652968,-0.0016812778,0.0098799857,0.000784949
2007-02-07,0.0,0.0013232408,-0.0051245797,0.0041176275
2007-02-08,-0.009281121,-0.0050456272,0.0016389183,-0.0054676627
2007-02-09,-0.0191036435,-0.0125573654,-0.0028985274,-0.0100137836
2007-02-12,0.0005617753,-0.0183418931,-0.0100806171,0.0003966878
2007-02-13,0.0052404792,0.0120827231,0.0066309571,0.0101110628
2007-02-14,0.0087507209,0.0136615508,0.0229143887,0.0092246711
2007-02-15,0.0005536877,0.0055852233,-0.0026678336,-0.0040839947
2007-02-16,-0.0020291017,-0.0055542019,0.0004611705,0.000781117
2007-02-20,0.0016636303,0.011534689,0.0185321964,0.0074146537
2007-02-21,-0.0081196232,-0.0014403553,-0.0035756676,0.000387391
2007-02-22,-0.0029766995,-0.0052891212,-0.0053599502,-0.0001936689
2007-02-23,0.0033588131,-0.0215105619,-0.0112800885,-0.0118125486
2007-02-26,-0.0202715711,-0.0302581693,-0.0115473441,-0.0043111504
2007-02-27,-0.0394836531,-0.0559093246,-0.0841121495,-0.0312930519
